datum,infizierte_gesamt,infizierte_aktuell,genesen
"2020.03.19",37,37,0
"2020.03.20",43,43,0
"2020.03.21",58,58,0
"2020.03.22",58,58,0
"2020.03.23",66,66,0
"2020.03.24",73,63,10
"2020.03.25",80,65,15
"2020.03.26",92,74,18
"2020.03.27",104,74,30
"2020.03.28",109,76,33
"2020.03.29",110,75,35
"2020.03.30",117,70,47
"2020.03.31",119,61,58
"2020.04.01",127,68,59
"2020.04.02",135,53,81
"2020.04.03",141,51,89
"2020.04.04",151,59,92
"2020.04.05",152,51,99
"2020.04.06",152,46,104
"2020.04.07",160,51,107
"2020.04.08",162,45,115
